FAQID,Question,Answer,Chat Scripts,Email Scripts,Voice Scripts,Gurucool Link,PCIR,Freshdesk Properties,TAT
2002684,USB Drive,do you mean 2002684: Description: GL Account details for USB Drive. Refer SAP master data for valuation class and account determination.: Here is the code: 20-84,do you mean 2002684: Description: do you mean 2002684: Description: GL Account details for USB Drive. Refer SAP master data for valuation class and account determination.: Here is the code: 20-84,,,,,,
2002685,Headset,do you mean 2002685: Description: GL Account details for Headset. Refer SAP master data for valuation class and account determination.: Here is the code: 20-85,do you mean 2002685: Description: do you mean 2002685: Description: GL Account details for Headset. Refer SAP master data for valuation class and account determination.: Here is the code: 20-85,,,,,,
2002686,Printer,do you mean 2002686: Description: GL Account details for Printer. Refer SAP master data for valuation class and account determination.: Here is the code: 20-86,do you mean 2002686: Description: do you mean 2002686: Description: GL Account details for Printer. Refer SAP master data for valuation class and account determination.: Here is the code: 20-86,,,,,,
2002687,USB Drive,do you mean 2002687: Description: GL Account details for USB Drive. Refer SAP master data for valuation class and account determination.: Here is the code: 20-87,do you mean 2002687: Description: do you mean 2002687: Description: GL Account details for USB Drive. Refer SAP master data for valuation class and account determination.: Here is the code: 20-87,,,,,,
2002688,Marker,do you mean 2002688: Description: GL Account details for Marker. Refer SAP master data for valuation class and account determination.: Here is the code: 20-88,do you mean 2002688: Description: do you mean 2002688: Description: GL Account details for Marker. Refer SAP master data for valuation class and account determination.: Here is the code: 20-88,,,,,,
2002689,Scanner,do you mean 2002689: Description: GL Account details for Scanner. Refer SAP master data for valuation class and account determination.: Here is the code: 20-89,do you mean 2002689: Description: do you mean 2002689: Description: GL Account details for Scanner. Refer SAP master data for valuation class and account determination.: Here is the code: 20-89,,,,,,
2002690,Cable,do you mean 2002690: Description: GL Account details for Cable. Refer SAP master data for valuation class and account determination.: Here is the code: 20-90,do you mean 2002690: Description: do you mean 2002690: Description: GL Account details for Cable. Refer SAP master data for valuation class and account determination.: Here is the code: 20-90,,,,,,
2002691,Router,do you mean 2002691: Description: GL Account details for Router. Refer SAP master data for valuation class and account determination.: Here is the code: 20-91,do you mean 2002691: Description: do you mean 2002691: Description: GL Account details for Router. Refer SAP master data for valuation class and account determination.: Here is the code: 20-91,,,,,,
2002692,USB Drive,do you mean 2002692: Description: GL Account details for USB Drive. Refer SAP master data for valuation class and account determination.: Here is the code: 20-92,do you mean 2002692: Description: do you mean 2002692: Description: GL Account details for USB Drive. Refer SAP master data for valuation class and account determination.: Here is the code: 20-92,,,,,,
2002693,Desk,do you mean 2002693: Description: GL Account details for Desk. Refer SAP master data for valuation class and account determination.: Here is the code: 20-93,do you mean 2002693: Description: do you mean 2002693: Description: GL Account details for Desk. Refer SAP master data for valuation class and account determination.: Here is the code: 20-93,,,,,,
2002694,Notebook,do you mean 2002694: Description: GL Account details for Notebook. Refer SAP master data for valuation class and account determination.: Here is the code: 20-94,do you mean 2002694: Description: do you mean 2002694: Description: GL Account details for Notebook. Refer SAP master data for valuation class and account determination.: Here is the code: 20-94,,,,,,
2002695,Scanner,do you mean 2002695: Description: GL Account details for Scanner. Refer SAP master data for valuation class and account determination.: Here is the code: 20-95,do you mean 2002695: Description: do you mean 2002695: Description: GL Account details for Scanner. Refer SAP master data for valuation class and account determination.: Here is the code: 20-95,,,,,,
2002696,Chair,do you mean 2002696: Description: GL Account details for Chair. Refer SAP master data for valuation class and account determination.: Here is the code: 20-96,do you mean 2002696: Description: do you mean 2002696: Description: GL Account details for Chair. Refer SAP master data for valuation class and account determination.: Here is the code: 20-96,,,,,,
2002697,Scanner,do you mean 2002697: Description: GL Account details for Scanner. Refer SAP master data for valuation class and account determination.: Here is the code: 20-97,do you mean 2002697: Description: do you mean 2002697: Description: GL Account details for Scanner. Refer SAP master data for valuation class and account determination.: Here is the code: 20-97,,,,,,
2002698,Notebook,do you mean 2002698: Description: GL Account details for Notebook. Refer SAP master data for valuation class and account determination.: Here is the code: 20-98,do you mean 2002698: Description: do you mean 2002698: Description: GL Account details for Notebook. Refer SAP master data for valuation class and account determination.: Here is the code: 20-98,,,,,,
2002699,USB Drive,do you mean 2002699: Description: GL Account details for USB Drive. Refer SAP master data for valuation class and account determination.: Here is the code: 20-99,do you mean 2002699: Description: do you mean 2002699: Description: GL Account details for USB Drive. Refer SAP master data for valuation class and account determination.: Here is the code: 20-99,,,,,,
2002700,Server,do you mean 2002700: Description: GL Account details for Server. Refer SAP master data for valuation class and account determination.: Here is the code: 20-00,do you mean 2002700: Description: do you mean 2002700: Description: GL Account details for Server. Refer SAP master data for valuation class and account determination.: Here is the code: 20-00,,,,,,
2002701,Desk,do you mean 2002701: Description: GL Account details for Desk. Refer SAP master data for valuation class and account determination.: Here is the code: 20-01,do you mean 2002701: Description: do you mean 2002701: Description: GL Account details for Desk. Refer SAP master data for valuation class and account determination.: Here is the code: 20-01,,,,,,
2002702,Adapter,do you mean 2002702: Description: GL Account details for Adapter. Refer SAP master data for valuation class and account determination.: Here is the code: 20-02,do you mean 2002702: Description: do you mean 2002702: Description: GL Account details for Adapter. Refer SAP master data for valuation class and account determination.: Here is the code: 20-02,,,,,,
2002703,Chair,do you mean 2002703: Description: GL Account details for Chair. Refer SAP master data for valuation class and account determination.: Here is the code: 20-03,do you mean 2002703: Description: do you mean 2002703: Description: GL Account details for Chair. Refer SAP master data for valuation class and account determination.: Here is the code: 20-03,,,,,,
2002704,Scanner,do you mean 2002704: Description: GL Account details for Scanner. Refer SAP master data for valuation class and account determination.: Here is the code: 20-04,do you mean 2002704: Description: do you mean 2002704: Description: GL Account details for Scanner. Refer SAP master data for valuation class and account determination.: Here is the code: 20-04,,,,,,
2002705,Server,do you mean 2002705: Description: GL Account details for Server. Refer SAP master data for valuation class and account determination.: Here is the code: 20-05,do you mean 2002705: Description: do you mean 2002705: Description: GL Account details for Server. Refer SAP master data for valuation class and account determination.: Here is the code: 20-05,,,,,,
2002706,Router,do you mean 2002706: Description: GL Account details for Router. Refer SAP master data for valuation class and account determination.: Here is the code: 20-06,do you mean 2002706: Description: do you mean 2002706: Description: GL Account details for Router. Refer SAP master data for valuation class and account determination.: Here is the code: 20-06,,,,,,
2002707,Notebook,do you mean 2002707: Description: GL Account details for Notebook. Refer SAP master data for valuation class and account determination.: Here is the code: 20-07,do you mean 2002707: Description: do you mean 2002707: Description: GL Account details for Notebook. Refer SAP master data for valuation class and account determination.: Here is the code: 20-07,,,,,,
2002708,Server,do you mean 2002708: Description: GL Account details for Server. Refer SAP master data for valuation class and account determination.: Here is the code: 20-08,do you mean 2002708: Description: do you mean 2002708: Description: GL Account details for Server. Refer SAP master data for valuation class and account determination.: Here is the code: 20-08,,,,,,
2002709,Mouse,do you mean 2002709: Description: GL Account details for Mouse. Refer SAP master data for valuation class and account determination.: Here is the code: 20-09,do you mean 2002709: Description: do you mean 2002709: Description: GL Account details for Mouse. Refer SAP master data for valuation class and account determination.: Here is the code: 20-09,,,,,,
2002710,Keyboard,do you mean 2002710: Description: GL Account details for Keyboard. Refer SAP master data for valuation class and account determination.: Here is the code: 20-10,do you mean 2002710: Description: do you mean 2002710: Description: GL Account details for Keyboard. Refer SAP master data for valuation class and account determination.: Here is the code: 20-10,,,,,,
2002711,Mouse,do you mean 2002711: Description: GL Account details for Mouse. Refer SAP master data for valuation class and account determination.: Here is the code: 20-11,do you mean 2002711: Description: do you mean 2002711: Description: GL Account details for Mouse. Refer SAP master data for valuation class and account determination.: Here is the code: 20-11,,,,,,
2002712,Notebook,do you mean 2002712: Description: GL Account details for Notebook. Refer SAP master data for valuation class and account determination.: Here is the code: 20-12,do you mean 2002712: Description: do you mean 2002712: Description: GL Account details for Notebook. Refer SAP master data for valuation class and account determination.: Here is the code: 20-12,,,,,,
2002713,Headset,do you mean 2002713: Description: GL Account details for Headset. Refer SAP master data for valuation class and account determination.: Here is the code: 20-13,do you mean 2002713: Description: do you mean 2002713: Description: GL Account details for Headset. Refer SAP master data for valuation class and account determination.: Here is the code: 20-13,,,,,,
2002714,Notebook,do you mean 2002714: Description: GL Account details for Notebook. Refer SAP master data for valuation class and account determination.: Here is the code: 20-14,do you mean 2002714: Description: do you mean 2002714: Description: GL Account details for Notebook. Refer SAP master data for valuation class and account determination.: Here is the code: 20-14,,,,,,
2002715,Mouse,do you mean 2002715: Description: GL Account details for Mouse. Refer SAP master data for valuation class and account determination.: Here is the code: 20-15,do you mean 2002715: Description: do you mean 2002715: Description: GL Account details for Mouse. Refer SAP master data for valuation class and account determination.: Here is the code: 20-15,,,,,,
2002716,Mouse,do you mean 2002716: Description: GL Account details for Mouse. Refer SAP master data for valuation class and account determination.: Here is the code: 20-16,do you mean 2002716: Description: do you mean 2002716: Description: GL Account details for Mouse. Refer SAP master data for valuation class and account determination.: Here is the code: 20-16,,,,,,
2002717,Monitor,do you mean 2002717: Description: GL Account details for Monitor. Refer SAP master data for valuation class and account determination.: Here is the code: 20-17,do you mean 2002717: Description: do you mean 2002717: Description: GL Account details for Monitor. Refer SAP master data for valuation class and account determination.: Here is the code: 20-17,,,,,,
2002718,Scanner,do you mean 2002718: Description: GL Account details for Scanner. Refer SAP master data for valuation class and account determination.: Here is the code: 20-18,do you mean 2002718: Description: do you mean 2002718: Description: GL Account details for Scanner. Refer SAP master data for valuation class and account determination.: Here is the code: 20-18,,,,,,
2002719,Headset,do you mean 2002719: Description: GL Account details for Headset. Refer SAP master data for valuation class and account determination.: Here is the code: 20-19,do you mean 2002719: Description: do you mean 2002719: Description: GL Account details for Headset. Refer SAP master data for valuation class and account determination.: Here is the code: 20-19,,,,,,
2002720,Keyboard,do you mean 2002720: Description: GL Account details for Keyboard. Refer SAP master data for valuation class and account determination.: Here is the code: 20-20,do you mean 2002720: Description: do you mean 2002720: Description: GL Account details for Keyboard. Refer SAP master data for valuation class and account determination.: Here is the code: 20-20,,,,,,
2002721,Server,do you mean 2002721: Description: GL Account details for Server. Refer SAP master data for valuation class and account determination.: Here is the code: 20-21,do you mean 2002721: Description: do you mean 2002721: Description: GL Account details for Server. Refer SAP master data for valuation class and account determination.: Here is the code: 20-21,,,,,,
2002722,Chair,do you mean 2002722: Description: GL Account details for Chair. Refer SAP master data for valuation class and account determination.: Here is the code: 20-22,do you mean 2002722: Description: do you mean 2002722: Description: GL Account details for Chair. Refer SAP master data for valuation class and account determination.: Here is the code: 20-22,,,,,,
2002723,Mouse,do you mean 2002723: Description: GL Account details for Mouse. Refer SAP master data for valuation class and account determination.: Here is the code: 20-23,do you mean 2002723: Description: do you mean 2002723: Description: GL Account details for Mouse. Refer SAP master data for valuation class and account determination.: Here is the code: 20-23,,,,,,
2002724,USB Drive,do you mean 2002724: Description: GL Account details for USB Drive. Refer SAP master data for valuation class and account determination.: Here is the code: 20-24,do you mean 2002724: Description: do you mean 2002724: Description: GL Account details for USB Drive. Refer SAP master data for valuation class and account determination.: Here is the code: 20-24,,,,,,
2002725,Headset,do you mean 2002725: Description: GL Account details for Headset. Refer SAP master data for valuation class and account determination.: Here is the code: 20-25,do you mean 2002725: Description: do you mean 2002725: Description: GL Account details for Headset. Refer SAP master data for valuation class and account determination.: Here is the code: 20-25,,,,,,
2002726,Mouse,do you mean 2002726: Description: GL Account details for Mouse. Refer SAP master data for valuation class and account determination.: Here is the code: 20-26,do you mean 2002726: Description: do you mean 2002726: Description: GL Account details for Mouse. Refer SAP master data for valuation class and account determination.: Here is the code: 20-26,,,,,,
2002727,Monitor,do you mean 2002727: Description: GL Account details for Monitor. Refer SAP master data for valuation class and account determination.: Here is the code: 20-27,do you mean 2002727: Description: do you mean 2002727: Description: GL Account details for Monitor. Refer SAP master data for valuation class and account determination.: Here is the code: 20-27,,,,,,
2002728,Adapter,do you mean 2002728: Description: GL Account details for Adapter. Refer SAP master data for valuation class and account determination.: Here is the code: 20-28,do you mean 2002728: Description: do you mean 2002728: Description: GL Account details for Adapter. Refer SAP master data for valuation class and account determination.: Here is the code: 20-28,,,,,,
2002729,Mouse,do you mean 2002729: Description: GL Account details for Mouse. Refer SAP master data for valuation class and account determination.: Here is the code: 20-29,do you mean 2002729: Description: do you mean 2002729: Description: GL Account details for Mouse. Refer SAP master data for valuation class and account determination.: Here is the code: 20-29,,,,,,
2002730,Cable,do you mean 2002730: Description: GL Account details for Cable. Refer SAP master data for valuation class and account determination.: Here is the code: 20-30,do you mean 2002730: Description: do you mean 2002730: Description: GL Account details for Cable. Refer SAP master data for valuation class and account determination.: Here is the code: 20-30,,,,,,
2002731,Cable,do you mean 2002731: Description: GL Account details for Cable. Refer SAP master data for valuation class and account determination.: Here is the code: 20-31,do you mean 2002731: Description: do you mean 2002731: Description: GL Account details for Cable. Refer SAP master data for valuation class and account determination.: Here is the code: 20-31,,,,,,
2002732,USB Drive,do you mean 2002732: Description: GL Account details for USB Drive. Refer SAP master data for valuation class and account determination.: Here is the code: 20-32,do you mean 2002732: Description: do you mean 2002732: Description: GL Account details for USB Drive. Refer SAP master data for valuation class and account determination.: Here is the code: 20-32,,,,,,
2002733,USB Drive,do you mean 2002733: Description: GL Account details for USB Drive. Refer SAP master data for valuation class and account determination.: Here is the code: 20-33,do you mean 2002733: Description: do you mean 2002733: Description: GL Account details for USB Drive. Refer SAP master data for valuation class and account determination.: Here is the code: 20-33,,,,,,
2002734,Desk,do you mean 2002734: Description: GL Account details for Desk. Refer SAP master data for valuation class and account determination.: Here is the code: 20-34,do you mean 2002734: Description: do you mean 2002734: Description: GL Account details for Desk. Refer SAP master data for valuation class and account determination.: Here is the code: 20-34,,,,,,
2002735,Server,do you mean 2002735: Description: GL Account details for Server. Refer SAP master data for valuation class and account determination.: Here is the code: 20-35,do you mean 2002735: Description: do you mean 2002735: Description: GL Account details for Server. Refer SAP master data for valuation class and account determination.: Here is the code: 20-35,,,,,,
2002736,USB Drive,do you mean 2002736: Description: GL Account details for USB Drive. Refer SAP master data for valuation class and account determination.: Here is the code: 20-36,do you mean 2002736: Description: do you mean 2002736: Description: GL Account details for USB Drive. Refer SAP master data for valuation class and account determination.: Here is the code: 20-36,,,,,,
2002737,Headset,do you mean 2002737: Description: GL Account details for Headset. Refer SAP master data for valuation class and account determination.: Here is the code: 20-37,do you mean 2002737: Description: do you mean 2002737: Description: GL Account details for Headset. Refer SAP master data for valuation class and account determination.: Here is the code: 20-37,,,,,,
2002738,Scanner,do you mean 2002738: Description: GL Account details for Scanner. Refer SAP master data for valuation class and account determination.: Here is the code: 20-38,do you mean 2002738: Description: do you mean 2002738: Description: GL Account details for Scanner. Refer SAP master data for valuation class and account determination.: Here is the code: 20-38,,,,,,
2002739,Server,do you mean 2002739: Description: GL Account details for Server. Refer SAP master data for valuation class and account determination.: Here is the code: 20-39,do you mean 2002739: Description: do you mean 2002739: Description: GL Account details for Server. Refer SAP master data for valuation class and account determination.: Here is the code: 20-39,,,,,,
2002740,Headset,do you mean 2002740: Description: GL Account details for Headset. Refer SAP master data for valuation class and account determination.: Here is the code: 20-40,do you mean 2002740: Description: do you mean 2002740: Description: GL Account details for Headset. Refer SAP master data for valuation class and account determination.: Here is the code: 20-40,,,,,,
2002741,Desk,do you mean 2002741: Description: GL Account details for Desk. Refer SAP master data for valuation class and account determination.: Here is the code: 20-41,do you mean 2002741: Description: do you mean 2002741: Description: GL Account details for Desk. Refer SAP master data for valuation class and account determination.: Here is the code: 20-41,,,,,,
2002742,Scanner,do you mean 2002742: Description: GL Account details for Scanner. Refer SAP master data for valuation class and account determination.: Here is the code: 20-42,do you mean 2002742: Description: do you mean 2002742: Description: GL Account details for Scanner. Refer SAP master data for valuation class and account determination.: Here is the code: 20-42,,,,,,
2002743,Chair,do you mean 2002743: Description: GL Account details for Chair. Refer SAP master data for valuation class and account determination.: Here is the code: 20-43,do you mean 2002743: Description: do you mean 2002743: Description: GL Account details for Chair. Refer SAP master data for valuation class and account determination.: Here is the code: 20-43,,,,,,
2002744,Desk,do you mean 2002744: Description: GL Account details for Desk. Refer SAP master data for valuation class and account determination.: Here is the code: 20-44,do you mean 2002744: Description: do you mean 2002744: Description: GL Account details for Desk. Refer SAP master data for valuation class and account determination.: Here is the code: 20-44,,,,,,
2002745,Notebook,do you mean 2002745: Description: GL Account details for Notebook. Refer SAP master data for valuation class and account determination.: Here is the code: 20-45,do you mean 2002745: Description: do you mean 2002745: Description: GL Account details for Notebook. Refer SAP master data for valuation class and account determination.: Here is the code: 20-45,,,,,,
2002746,Scanner,do you mean 2002746: Description: GL Account details for Scanner. Refer SAP master data for valuation class and account determination.: Here is the code: 20-46,do you mean 2002746: Description: do you mean 2002746: Description: GL Account details for Scanner. Refer SAP master data for valuation class and account determination.: Here is the code: 20-46,,,,,,
2002747,Server,do you mean 2002747: Description: GL Account details for Server. Refer SAP master data for valuation class and account determination.: Here is the code: 20-47,do you mean 2002747: Description: do you mean 2002747: Description: GL Account details for Server. Refer SAP master data for valuation class and account determination.: Here is the code: 20-47,,,,,,
2002748,Printer,do you mean 2002748: Description: GL Account details for Printer. Refer SAP master data for valuation class and account determination.: Here is the code: 20-48,do you mean 2002748: Description: do you mean 2002748: Description: GL Account details for Printer. Refer SAP master data for valuation class and account determination.: Here is the code: 20-48,,,,,,
2002749,Keyboard,do you mean 2002749: Description: GL Account details for Keyboard. Refer SAP master data for valuation class and account determination.: Here is the code: 20-49,do you mean 2002749: Description: do you mean 2002749: Description: GL Account details for Keyboard. Refer SAP master data for valuation class and account determination.: Here is the code: 20-49,,,,,,
2002750,Server,do you mean 2002750: Description: GL Account details for Server. Refer SAP master data for valuation class and account determination.: Here is the code: 20-50,do you mean 2002750: Description: do you mean 2002750: Description: GL Account details for Server. Refer SAP master data for valuation class and account determination.: Here is the code: 20-50,,,,,,
2002751,Headset,do you mean 2002751: Description: GL Account details for Headset. Refer SAP master data for valuation class and account determination.: Here is the code: 20-51,do you mean 2002751: Description: do you mean 2002751: Description: GL Account details for Headset. Refer SAP master data for valuation class and account determination.: Here is the code: 20-51,,,,,,
2002752,USB Drive,do you mean 2002752: Description: GL Account details for USB Drive. Refer SAP master data for valuation class and account determination.: Here is the code: 20-52,do you mean 2002752: Description: do you mean 2002752: Description: GL Account details for USB Drive. Refer SAP master data for valuation class and account determination.: Here is the code: 20-52,,,,,,
2002753,Desk,do you mean 2002753: Description: GL Account details for Desk. Refer SAP master data for valuation class and account determination.: Here is the code: 20-53,do you mean 2002753: Description: do you mean 2002753: Description: GL Account details for Desk. Refer SAP master data for valuation class and account determination.: Here is the code: 20-53,,,,,,
2002754,USB Drive,do you mean 2002754: Description: GL Account details for USB Drive. Refer SAP master data for valuation class and account determination.: Here is the code: 20-54,do you mean 2002754: Description: do you mean 2002754: Description: GL Account details for USB Drive. Refer SAP master data for valuation class and account determination.: Here is the code: 20-54,,,,,,
2002755,Notebook,do you mean 2002755: Description: GL Account details for Notebook. Refer SAP master data for valuation class and account determination.: Here is the code: 20-55,do you mean 2002755: Description: do you mean 2002755: Description: GL Account details for Notebook. Refer SAP master data for valuation class and account determination.: Here is the code: 20-55,,,,,,
2002756,Router,do you mean 2002756: Description: GL Account details for Router. Refer SAP master data for valuation class and account determination.: Here is the code: 20-56,do you mean 2002756: Description: do you mean 2002756: Description: GL Account details for Router. Refer SAP master data for valuation class and account determination.: Here is the code: 20-56,,,,,,
2002757,Notebook,do you mean 2002757: Description: GL Account details for Notebook. Refer SAP master data for valuation class and account determination.: Here is the code: 20-57,do you mean 2002757: Description: do you mean 2002757: Description: GL Account details for Notebook. Refer SAP master data for valuation class and account determination.: Here is the code: 20-57,,,,,,
2002758,Router,do you mean 2002758: Description: GL Account details for Router. Refer SAP master data for valuation class and account determination.: Here is the code: 20-58,do you mean 2002758: Description: do you mean 2002758: Description: GL Account details for Router. Refer SAP master data for valuation class and account determination.: Here is the code: 20-58,,,,,,
2002759,Cable,do you mean 2002759: Description: GL Account details for Cable. Refer SAP master data for valuation class and account determination.: Here is the code: 20-59,do you mean 2002759: Description: do you mean 2002759: Description: GL Account details for Cable. Refer SAP master data for valuation class and account determination.: Here is the code: 20-59,,,,,,
2002760,Mouse,do you mean 2002760: Description: GL Account details for Mouse. Refer SAP master data for valuation class and account determination.: Here is the code: 20-60,do you mean 2002760: Description: do you mean 2002760: Description: GL Account details for Mouse. Refer SAP master data for valuation class and account determination.: Here is the code: 20-60,,,,,,
2002761,Mouse,do you mean 2002761: Description: GL Account details for Mouse. Refer SAP master data for valuation class and account determination.: Here is the code: 20-61,do you mean 2002761: Description: do you mean 2002761: Description: GL Account details for Mouse. Refer SAP master data for valuation class and account determination.: Here is the code: 20-61,,,,,,
2002762,Mouse,do you mean 2002762: Description: GL Account details for Mouse. Refer SAP master data for valuation class and account determination.: Here is the code: 20-62,do you mean 2002762: Description: do you mean 2002762: Description: GL Account details for Mouse. Refer SAP master data for valuation class and account determination.: Here is the code: 20-62,,,,,,
2002763,Notebook,do you mean 2002763: Description: GL Account details for Notebook. Refer SAP master data for valuation class and account determination.: Here is the code: 20-63,do you mean 2002763: Description: do you mean 2002763: Description: GL Account details for Notebook. Refer SAP master data for valuation class and account determination.: Here is the code: 20-63,,,,,,
2002764,Monitor,do you mean 2002764: Description: GL Account details for Monitor. Refer SAP master data for valuation class and account determination.: Here is the code: 20-64,do you mean 2002764: Description: do you mean 2002764: Description: GL Account details for Monitor. Refer SAP master data for valuation class and account determination.: Here is the code: 20-64,,,,,,
2002765,Printer,do you mean 2002765: Description: GL Account details for Printer. Refer SAP master data for valuation class and account determination.: Here is the code: 20-65,do you mean 2002765: Description: do you mean 2002765: Description: GL Account details for Printer. Refer SAP master data for valuation class and account determination.: Here is the code: 20-65,,,,,,
2002766,Headset,do you mean 2002766: Description: GL Account details for Headset. Refer SAP master data for valuation class and account determination.: Here is the code: 20-66,do you mean 2002766: Description: do you mean 2002766: Description: GL Account details for Headset. Refer SAP master data for valuation class and account determination.: Here is the code: 20-66,,,,,,
2002767,Mouse,do you mean 2002767: Description: GL Account details for Mouse. Refer SAP master data for valuation class and account determination.: Here is the code: 20-67,do you mean 2002767: Description: do you mean 2002767: Description: GL Account details for Mouse. Refer SAP master data for valuation class and account determination.: Here is the code: 20-67,,,,,,
2002768,Keyboard,do you mean 2002768: Description: GL Account details for Keyboard. Refer SAP master data for valuation class and account determination.: Here is the code: 20-68,do you mean 2002768: Description: do you mean 2002768: Description: GL Account details for Keyboard. Refer SAP master data for valuation class and account determination.: Here is the code: 20-68,,,,,,
2002769,Notebook,do you mean 2002769: Description: GL Account details for Notebook. Refer SAP master data for valuation class and account determination.: Here is the code: 20-69,do you mean 2002769: Description: do you mean 2002769: Description: GL Account details for Notebook. Refer SAP master data for valuation class and account determination.: Here is the code: 20-69,,,,,,
2002770,USB Drive,do you mean 2002770: Description: GL Account details for USB Drive. Refer SAP master data for valuation class and account determination.: Here is the code: 20-70,do you mean 2002770: Description: do you mean 2002770: Description: GL Account details for USB Drive. Refer SAP master data for valuation class and account determination.: Here is the code: 20-70,,,,,,
2002771,Keyboard,do you mean 2002771: Description: GL Account details for Keyboard. Refer SAP master data for valuation class and account determination.: Here is the code: 20-71,do you mean 2002771: Description: do you mean 2002771: Description: GL Account details for Keyboard. Refer SAP master data for valuation class and account determination.: Here is the code: 20-71,,,,,,
2002772,USB Drive,do you mean 2002772: Description: GL Account details for USB Drive. Refer SAP master data for valuation class and account determination.: Here is the code: 20-72,do you mean 2002772: Description: do you mean 2002772: Description: GL Account details for USB Drive. Refer SAP master data for valuation class and account determination.: Here is the code: 20-72,,,,,,
2002773,Keyboard,do you mean 2002773: Description: GL Account details for Keyboard. Refer SAP master data for valuation class and account determination.: Here is the code: 20-73,do you mean 2002773: Description: do you mean 2002773: Description: GL Account details for Keyboard. Refer SAP master data for valuation class and account determination.: Here is the code: 20-73,,,,,,
2002774,Adapter,do you mean 2002774: Description: GL Account details for Adapter. Refer SAP master data for valuation class and account determination.: Here is the code: 20-74,do you mean 2002774: Description: do you mean 2002774: Description: GL Account details for Adapter. Refer SAP master data for valuation class and account determination.: Here is the code: 20-74,,,,,,
